A,8058,B,9,1.98
M,8058,B,9,1.99
A,8820,B,10,1.03
M,8820,B,10,1.04
A,1280,B,2,1.27
M,1280,B,2,1.28
A,9478,B,10,1.27
M,9478,B,10,1.28
A,9981,S,11,1.61
M,9981,S,11,1.62
A,8346,B,9,1.19
M,8346,B,9,1.2
A,4277,S,5,1.79
M,4277,S,5,1.8
A,283,S,1,1.74
M,283,S,1,1.75
A,7027,S,8,1.05
M,7027,S,8,1.06
A,797,S,2,1.91
M,797,S,2,1.92
A,5973,S,7,1.33
M,5973,S,7,1.34
A,4622,B,6,1.36
M,4622,B,6,1.37
A,3470,B,4,1.08
M,3470,B,4,1.09
A,8677,S,10,1.81
M,8677,S,10,1.82
A,2231,S,3,1.17
M,2231,S,3,1.18
A,6051,S,7,1.66
M,6051,S,7,1.67
A,3097,S,4,1.76
M,3097,S,4,1.77
A,6253,S,7,1.54
M,6253,S,7,1.55
A,7350,B,8,1.25
M,7350,B,8,1.26
A,301,S,1,1.94
M,301,S,1,1.95
A,6900,B,8,1.03
M,6900,B,8,1.04
A,8149,S,9,1.54
M,8149,S,9,1.55
A,3583,S,5,2
M,3583,S,5,2.01
A,4497,S,5,1.88
M,4497,S,5,1.89
A,2537,S,4,1.81
M,2537,S,4,1.82
A,1298,B,2,1.1
M,1298,B,2,1.11
A,4546,B,6,1.74
M,4546,B,6,1.75
A,644,B,2,1.56
M,644,B,2,1.57
A,9672,B,11,1.63
M,9672,B,11,1.64
A,1242,B,2,1.66
M,1242,B,2,1.67
A,1896,B,3,1.93
M,1896,B,3,1.94
A,5498,B,6,1.95
M,5498,B,6,1.96
A,286,B,1,1.25
M,286,B,1,1.26
A,8350,B,9,1.73
M,8350,B,9,1.74
A,5826,B,7,1.23
M,5826,B,7,1.24
A,5408,B,6,1.33
M,5408,B,6,1.34
A,5359,S,6,1.79
M,5359,S,6,1.8
A,4842,B,6,1.69
M,4842,B,6,1.7
A,3227,S,4,1.99
M,3227,S,4,2
A,961,S,2,1.65
M,961,S,2,1.66
A,4462,B,5,1.38
M,4462,B,5,1.39
A,2544,B,4,1.57
M,2544,B,4,1.58
A,5464,B,6,1.47
M,5464,B,6,1.48
A,9775,S,11,1.47
M,9775,S,11,1.48
A,3955,S,5,1.31
M,3955,S,5,1.32
A,9930,B,11,1.07
M,9930,B,11,1.08
A,289,S,1,1.54
M,289,S,1,1.55
A,7908,B,9,1.73
M,7908,B,9,1.74
A,7943,S,9,1.55
M,7943,S,9,1.56
A,5929,S,7,1.5
M,5929,S,7,1.51
A,2329,S,3,1.57
M,2329,S,3,1.58
A,7889,S,9,1.66
M,7889,S,9,1.67
A,520,B,2,1.63
M,520,B,2,1.64
A,136,B,1,1.75
M,136,B,1,1.76
A,8042,B,9,1.36
M,8042,B,9,1.37
A,3999,S,5,1.41
M,3999,S,5,1.42
A,2575,S,4,1.39
M,2575,S,4,1.4
A,128,B,1,1.02
M,128,B,1,1.03
A,5623,S,7,1.57
M,5623,S,7,1.58
A,1825,S,3,1.55
M,1825,S,3,1.56
A,2122,B,3,1.26
M,2122,B,3,1.27
A,3298,B,4,1.34
M,3298,B,4,1.35
A,3422,B,4,1.06
M,3422,B,4,1.07
A,8241,S,9,1.1
M,8241,S,9,1.11
A,7118,B,8,1.05
M,7118,B,8,1.06
A,2720,B,4,1.27
M,2720,B,4,1.28
A,2865,S,4,1.59
M,2865,S,4,1.6
A,8939,S,10,1.47
M,8939,S,10,1.48
A,8829,S,10,1.59
M,8829,S,10,1.6
A,4896,B,6,1.06
M,4896,B,6,1.07
A,9825,S,11,1.6
M,9825,S,11,1.61
A,1385,S,2,1.51
M,1385,S,2,1.52
A,1625,S,3,1.99
M,1625,S,3,2
A,5436,B,6,1.65
M,5436,B,6,1.66
A,9240,B,10,1.07
M,9240,B,10,1.08
A,7290,B,8,1.1
M,7290,B,8,1.11
A,8215,S,9,1.99
M,8215,S,9,2
A,6665,S,8,1.99
M,6665,S,8,2
A,5305,S,6,1.77
M,5305,S,6,1.78
A,6484,B,7,1.71
M,6484,B,7,1.72
A,2154,B,3,1.43
M,2154,B,3,1.44
A,67,S,1,1.85
M,67,S,1,1.86
A,3894,B,5,1.13
M,3894,B,5,1.14
A,2439,S,3,1.07
M,2439,S,3,1.08
A,1877,S,3,1.51
M,1877,S,3,1.52
A,9760,B,11,1.09
M,9760,B,11,1.1
A,1776,B,3,1.45
M,1776,B,3,1.46
A,9420,B,10,1.81
M,9420,B,10,1.82
A,8819,S,10,1.76
M,8819,S,10,1.77
A,8377,S,9,1.57
M,8377,S,9,1.58
A,3267,S,4,1.5
M,3267,S,4,1.51
A,4616,B,6,1.78
M,4616,B,6,1.79
A,3537,S,5,1.21
M,3537,S,5,1.22
A,8398,B,9,1.98
M,8398,B,9,1.99
A,5613,S,7,1.15
M,5613,S,7,1.16
A,5358,B,6,1.67
M,5358,B,6,1.68
A,6420,B,7,1.77
M,6420,B,7,1.78
A,582,B,2,1.19
M,582,B,2,1.2
A,7961,S,9,1.94
M,7961,S,9,1.95
A,1425,S,2,1.38
M,1425,S,2,1.39
A,9092,B,10,1.62
M,9092,B,10,1.63
A,8580,B,10,1.83
M,8580,B,10,1.84
A,1045,S,2,1.81
M,1045,S,2,1.82
A,5242,B,6,1.58
M,5242,B,6,1.59
A,3766,B,5,1.32
M,3766,B,5,1.33
A,1668,B,3,1.41
M,1668,B,3,1.42
A,9226,B,10,1.7
M,9226,B,10,1.71
A,6548,B,8,1.07
M,6548,B,8,1.08
A,623,S,2,1.38
M,623,S,2,1.39
A,3915,S,5,1.35
M,3915,S,5,1.36
A,6229,S,7,1.64
M,6229,S,7,1.65
A,1364,B,2,1.53
M,1364,B,2,1.54
A,7485,S,8,1.79
M,7485,S,8,1.8
A,8094,B,9,1.06
M,8094,B,9,1.07
A,7186,B,8,1.59
M,7186,B,8,1.6
A,3188,B,4,1.26
M,3188,B,4,1.27
A,3385,S,4,1.87
M,3385,S,4,1.88
A,3704,B,5,1.45
